stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,hts_kor_isnm,stck_shrn_iscd
2022-06-30,57000,57200,57600,57000,18915142,1082799462452,00,0.00,N,5,-1000,,삼성전자,005930
2022-06-29,58000,58500,58800,58000,14677138,855770425874,00,0.00,N,5,-1400,,삼성전자,005930
2022-06-28,59400,59200,59500,58700,13540538,800041009700,00,0.00,N,2,600,,삼성전자,005930
2022-06-27,58800,59000,59900,58300,18122236,1071186745402,00,0.00,N,2,400,,삼성전자,005930
2022-06-24,58400,57900,59100,57700,23256104,1359292776100,00,0.00,N,2,1000,,삼성전자,005930
2022-06-23,57400,57700,58000,56800,28338608,1627019443340,00,0.00,N,5,-200,,삼성전자,005930
2022-06-22,57600,59000,59100,57600,23334688,1360076149300,00,0.00,N,5,-900,,삼성전자,005930
2022-06-21,58500,58700,59200,58200,25148108,1474998298400,00,0.00,N,5,-200,,삼성전자,005930
2022-06-20,58700,59800,59900,58100,34111304,1997076972175,00,0.00,N,5,-1100,,삼성전자,005930
2022-06-17,59800,59400,59900,59400,29053450,1732449618748,00,0.00,N,5,-1100,,삼성전자,005930
2022-06-16,60900,61300,61800,60500,23394896,1431052309321,00,0.00,N,2,200,,삼성전자,005930
2022-06-15,60700,61300,61500,60200,26811224,1630190882434,00,0.00,N,5,-1200,,삼성전자,005930
2022-06-14,61900,61200,62200,61100,24606420,1519195265000,00,0.00,N,5,-200,,삼성전자,005930
2022-06-13,62100,62400,62800,62100,22157816,1380636801900,00,0.00,N,5,-1700,,삼성전자,005930
2022-06-10,63800,64000,64400,63800,22193552,1419245099700,00,0.00,N,5,-1400,,삼성전자,005930
2022-06-09,65200,65100,65200,64500,25790724,1673763680952,00,0.00,N,5,-100,,삼성전자,005930
2022-06-08,65300,65400,65700,65300,12483180,817379109300,00,0.00,N,5,-200,,삼성전자,005930
2022-06-07,65500,66200,66400,65400,19355756,1273444989300,00,0.00,N,5,-1300,,삼성전자,005930
2022-06-03,66800,67200,67300,66800,8222883,550654655700,00,0.00,N,2,100,,삼성전자,005930
2022-06-02,66700,66600,67000,66400,14959443,996681075588,00,0.00,N,5,-700,,삼성전자,005930
